id;peak1;n_visitas1;standv1;MAD1;cov1;peak2;n_visitas2;standv2;MAD2;cov2;diff_visita;diff_peak
130056521;9;8;28.642.768.079.662.000;2.0;0.2222222222222222;29;8;24.411.439.272.335.800;2.0;0.06896551724137931;0;-20
150287225;3;6;19.595.917.942.265.400;0.0;0.0;23;6;25.768.197.453.450.200;3.0;0.13043478260869565;0;-20
70218922;8;5;25.495.097.567.963.900;1.5;0.1875;29;5;3.082.207.001.484.480;2.5;0.08620689655172414;0;-21
130001760;12;6;2.898.275.349.237.880;1.0;0.08333333333333333;35;6;0.4898979485566356;0.0;0.0;0;-23
130077558;10;5;3.766.629.793.329.840;3.5;0.35;34;5;3.278.719.262.151;1.0;0.029411764705882353;0;-24
150201341;6;5;2.0;2.0;0.3333333333333333;32;5;2.5;2.5;0.078125;0;-26
13848;13;4;1.699.673.171.197.590;1.0;0.07692307692307693;40;4;38.586.123.009.300.700;2.0;0.05;0;-27
120002319;2;5;0.0;0.0;0.0;29;5;35.355.339.059.327.300;1.0;0.034482758620689655;0;-27
70050771;10;6;33.105.890.714.493.600;4.0;0.4;38;6;23.151.673.805.580.400;1.0;0.02631578947368421;0;-28
110122134;2;7;0.6871842709362768;0.5;0.25;32;7;52.094.998.693.625.900;4.0;0.125;0;-30
151251093;2;7;0.6871842709362768;0.5;0.25;32;7;52.094.998.693.625.900;4.0;0.125;0;-30
99257;6;6;24.166.091.947.189.100;1.0;0.16666666666666666;37;6;4.409.081.537.009.720;4.0;0.10810810810810811;0;-31
